home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max,date-start-timestamp
Southampton,Brighton,1,1,False,False,1.55,1.68,2.18,2.41,2.03,2.35,1638630000
Newcastle,Burnley,1,0,True,False,1.35,1.46,2.46,2.53,2.1,2.23,1638630000
Watford,Manchester City,1,3,False,True,12.47,15.0,6.14,7.05,0.21,0.23,1638639000
Tottenham,Norwich,3,0,True,False,0.46,0.5,3.53,3.73,6.48,7.0,1638712800
Manchester Utd,Crystal Palace,1,0,True,False,0.52,0.54,3.45,3.6,5.48,6.13,1638712800
Leeds,Brentford,2,2,False,False,0.85,0.92,2.54,2.64,3.69,3.95,1638712800
Aston Villa,Leicester,2,1,True,False,1.25,1.4,2.42,2.5,2.34,2.51,1638721800
Everton,Arsenal,2,1,True,False,2.56,2.95,2.49,2.64,1.15,1.38,1638820800
Brentford,Watford,2,1,True,False,1.48,1.63,2.37,2.65,1.99,2.21,1639166400
Manchester City,Wolves,1,0,True,False,0.17,0.2,6.94,7.52,18.62,21.0,1639225800
Liverpool,Aston Villa,1,0,True,False,0.24,0.27,5.67,6.3,10.98,12.0,1639234800
Chelsea,Leeds,3,2,True,False,0.24,0.3,5.68,6.63,11.88,13.75,1639234800
Arsenal,Southampton,3,0,True,False,0.74,0.81,2.95,3.15,3.79,4.2,1639234800
Norwich,Manchester Utd,0,1,False,True,6.39,6.76,3.91,4.11,0.44,0.45,1639243800
Leicester,Newcastle,4,0,True,False,0.74,0.79,3.03,3.15,3.7,4.19,1639317600
Burnley,West Ham,0,0,False,False,2.49,2.74,2.53,2.61,1.14,1.21,1639317600
Crystal Palace,Everton,3,1,True,False,1.23,1.29,2.2,2.28,2.6,2.8,1639326600
Norwich,Aston Villa,0,2,False,True,2.71,2.9,2.36,2.48,1.11,1.15,1639511100
Manchester City,Leeds,7,0,True,False,0.15,0.18,8.13,9.1,16.79,19.59,1639512000
Crystal Palace,Southampton,2,2,False,False,1.09,1.27,2.41,2.54,2.78,3.15,1639596600
Brighton,Wolves,0,1,False,True,1.09,1.19,2.14,2.25,3.19,3.65,1639596600
Arsenal,West Ham,2,0,True,False,1.09,1.3,2.62,2.76,2.57,2.78,1639598400
Chelsea,Everton,1,1,False,False,0.21,0.25,6.0,6.83,15.15,20.0,1639683900
Liverpool,Newcastle,3,1,True,False,0.11,0.15,9.47,11.5,23.33,30.0,1639684800
