home-name,away-name,home-elo,away-elo,home-win-odds,draw-odds,away-win-odds,home-result,away-result,match-date,epoch_time,home-win-elo,draw-elo,away-win-elo,home_win_elo_bookies_draw_odds,away_win_elo_bookies_draw_odds,draw_elo_bookies_draw_odds
Newcastle,Brighton,972.5980313132231,981.8160273770656,0.4184100418410042,0.3105590062111801,0.3115264797507788,0,0,2019-09-21 17:30:00,1569083400.0,0.48539304456080423,0.0,0.5146069554391958,0.33464986302018185,0.3547911307686381,0.3105590062111801
West Ham,Manchester Utd,1029.9149323331587,998.8624719029195,0.3236245954692557,0.28653295128939826,0.4291845493562232,2,0,2019-09-22 14:00:00,1569157200.0,0.49849805083176013,0.0,0.5015019491682399,0.35566193311492345,0.3578051155956783,0.28653295128939826
Crystal Palace,Wolves,998.5247827430936,970.7175530914077,0.36496350364963503,0.3205128205128205,0.35335689045936397,1,1,2019-09-22 14:00:00,1569157200.0,0.5439522336637039,0.0,0.45604776633629607,0.3696085690279014,0.3098786104592781,0.3205128205128205
Chelsea,Liverpool,1003.1417952588585,1086.453693503635,0.3067484662576687,0.2695417789757412,0.4629629629629629,1,2,2019-09-22 16:30:00,1569166200.0,0.419444878278567,0.0,0.580555121721433,0.3063869596050988,0.4240712614191599,0.2695417789757412
Arsenal,Aston Villa,1026.5792625217819,959.3476670805359,0.7092198581560284,0.19607843137254904,0.1360544217687075,3,2,2019-09-22 16:30:00,1569166200.0,0.5555917455808492,0.0,0.44440825441915077,0.44665218762382,0.35726938100363104,0.19607843137254904
Sheffield Utd,Liverpool,987.341776170667,1098.5272259604735,0.111731843575419,0.18867924528301888,0.7407407407407407,0,1,2019-09-28 12:30:00,1569670200.0,0.3772978892762046,0.0,0.6227021107237953,0.30610960828069433,0.5052111464362868,0.18867924528301888
Wolves,Watford,985.5301453600379,930.073236379435,0.5181347150259067,0.2898550724637681,0.23255813953488372,2,0,2019-09-28 15:00:00,1569679200.0,0.5371064916053055,0.0,0.46289350839469445,0.3814234505602895,0.32872147697594245,0.2898550724637681
Tottenham,Southampton,1014.8837200416327,972.8914471998756,0.7194244604316546,0.19920318725099603,0.12224938875305624,2,1,2019-09-28 15:00:00,1569679200.0,0.5158330159065231,0.0,0.4841669840934769,0.4130774350486499,0.38771937770035403,0.19920318725099603
Crystal Palace,Norwich,1013.2857239221506,956.8040408067702,0.5208333333333334,0.2645502645502646,0.2570694087403599,2,0,2019-09-28 15:00:00,1569679200.0,0.53872058815447,0.0,0.46127941184553,0.3962019140395308,0.33924782141020454,0.2645502645502646
Chelsea,Brighton,1018.1609388585782,966.7968837773458,0.6993006993006994,0.2114164904862579,0.1295336787564767,2,0,2019-09-28 15:00:00,1569679200.0,0.5306517625087583,0.0,0.46934823749124166,0.41846322920880946,0.37012028030493266,0.2114164904862579
Bournemouth,West Ham,1018.1232390600599,1029.3459418499635,0.4184100418410042,0.27548209366391185,0.34602076124567477,2,2,2019-09-28 15:00:00,1569679200.0,0.48221904740014854,0.0,0.5177809525998515,0.3493763346177385,0.37514157171834966,0.27548209366391185
Aston Villa,Burnley,961.3045541011217,1000.0978442066488,0.4366812227074236,0.29411764705882354,0.3105590062111801,2,2,2019-09-28 15:00:00,1569679200.0,0.43884728060669453,0.0,0.5611527193933055,0.3097745510164902,0.3961078019246862,0.29411764705882354
Everton,Manchester City,966.0996791126693,1052.9055438781186,0.11286681715575622,0.17953321364452424,0.7462686567164178,1,3,2019-09-28 17:30:00,1569688200.0,0.41407521855300644,0.0,0.5859247814469936,0.33973496387562646,0.4807318224798493,0.17953321364452424
Leicester,Newcastle,1043.1781167902755,959.2082080994747,0.6535947712418301,0.24154589371980673,0.14388489208633093,5,0,2019-09-29 16:30:00,1569771000.0,0.5815680245703638,0.0,0.41843197542963617,0.4410926563166528,0.3173614499635405,0.24154589371980673
Manchester Utd,Arsenal,1000.1361764305689,1025.3055579941326,0.4484304932735426,0.28169014084507044,0.3105590062111801,1,1,2019-09-30 20:00:00,1569870000.0,0.4601967335109595,0.0,0.5398032664890404,0.33056385083181594,0.3877460083231135,0.28169014084507044
Brighton,Tottenham,984.9973317740662,996.6832720449123,0.19607843137254904,0.25641025641025644,0.5847953216374269,3,0,2019-10-05 12:30:00,1570275000.0,0.43123600010248586,0.0,0.5687639998975141,0.32066266674287414,0.4229270768468695,0.25641025641025644
Watford,Sheffield Utd,932.6869219138086,984.7280906362934,0.425531914893617,0.3048780487804878,0.3076923076923077,0,0,2019-10-05 15:00:00,1570284000.0,0.4183223270508229,0.0,0.581677672949177,0.2907850322182549,0.4043369190012572,0.3048780487804878
Norwich,Aston Villa,941.0112855118998,977.097309395992,0.41493775933609955,0.27548209366391185,0.34965034965034963,1,5,2019-10-05 15:00:00,1570284000.0,0.4935236029647001,0.0,0.5064763970352999,0.3575666875474273,0.3669512187886608,0.27548209366391185
Liverpool,Leicester,1111.9996515434946,1029.7056912072544,0.6329113924050632,0.2298850574712644,0.17421602787456444,2,1,2019-10-05 15:00:00,1570284000.0,0.5789867005305886,0.0,0.42101329946941135,0.44588630960401654,0.32422863292471904,0.2298850574712644
Burnley,Everton,1014.5371491556397,951.6603741636784,0.31347962382445144,0.30864197530864196,0.4166666666666667,1,0,2019-10-05 15:00:00,1570284000.0,0.5487717203440352,0.0,0.4512282796559648,0.3793977325835305,0.3119602921078275,0.30864197530864196
West Ham,Crystal Palace,1012.606867813336,1030.0247979587782,0.5,0.2747252747252747,0.26525198938992045,1,2,2019-10-05 17:30:00,1570293000.0,0.5230960636446128,0.0,0.4769039363553872,0.3793883538521368,0.34588637142258855,0.2747252747252747
Southampton,Chelsea,958.9644663282478,1032.087919730206,0.21413276231263384,0.23752969121140144,0.5882352941176471,1,4,2019-10-06 14:00:00,1570366800.0,0.43521815223837196,0.0,0.564781847761628,0.33184091892759476,0.43062938986100374,0.23752969121140144
Manchester City,Wolves,1033.8411095881595,1004.5945796499968,0.8771929824561403,0.11299435028248588,0.048520135856380396,0,2,2019-10-06 14:00:00,1570366800.0,0.5957635715612192,0.0,0.4042364284387808,0.528445653870686,0.3585599958468282,0.11299435028248588
Arsenal,Bournemouth,1040.974847092026,1002.4539499621665,0.7352941176470589,0.1773049645390071,0.13003901170351104,1,0,2019-10-06 14:00:00,1570366800.0,0.5103347156908331,0.0,0.4896652843091669,0.41984983702224565,0.4028451984387472,0.1773049645390071
Newcastle,Manchester Utd,977.0843404260903,982.2600441039533,0.2531645569620253,0.3021148036253776,0.4854368932038835,1,0,2019-10-06 16:30:00,1570375800.0,0.44137086479326276,0.0,0.5586291352067372,0.3080261926502831,0.3898590037243393,0.3021148036253776
Everton,West Ham,970.4386252112865,993.8286167657278,0.5555555555555556,0.25,0.2331002331002331,2,0,2019-10-19 12:30:00,1571484600.0,0.4131796547622464,0.0,0.5868203452377536,0.3098847410716848,0.4401152589283152,0.25
Wolves,Southampton,1002.505234263376,961.0538117148686,0.4926108374384236,0.303951367781155,0.24509803921568626,1,1,2019-10-19 15:00:00,1571493600.0,0.5652920433319022,0.0,0.4347079566680978,0.3934707535653666,0.30257787865347846,0.303951367781155
Tottenham,Watford,993.7690154689947,935.6011784897263,0.6711409395973155,0.2222222222222222,0.14727540500736377,1,1,2019-10-19 15:00:00,1571493600.0,0.5910705179974255,0.0,0.4089294820025745,0.4597215139979976,0.3180562637797802,0.2222222222222222
Leicester,Burnley,1045.0075975134182,999.235242849476,0.6666666666666666,0.22935779816513766,0.14285714285714285,2,1,2019-10-19 15:00:00,1571493600.0,0.5218154279323832,0.0,0.4781845720676168,0.4021329903332127,0.3685092115016496,0.22935779816513766
Chelsea,Newcastle,1045.575862885022,963.5963972712744,0.78125,0.16778523489932887,0.09057971014492755,1,0,2019-10-19 15:00:00,1571493600.0,0.5785017764120053,0.0,0.4214982235879947,0.481437719967038,0.35077704513363317,0.16778523489932887
Bournemouth,Norwich,999.6535438513587,943.8116916227076,0.5747126436781609,0.23640661938534277,0.22727272727272727,0,0,2019-10-19 15:00:00,1571493600.0,0.5875126909627434,0.0,0.4124873090372566,0.4486208018462556,0.3149725787684016,0.23640661938534277
Aston Villa,Brighton,993.4610561851711,968.6335849848872,0.42372881355932196,0.2881844380403458,0.3278688524590164,2,1,2019-10-19 15:00:00,1571493600.0,0.4886329128381576,0.0,0.5113670871618424,0.3478165114438759,0.36399905051577836,0.2881844380403458
Crystal Palace,Manchester City,1014.2005385363044,1049.6653690106332,0.08438818565400844,0.13793103448275862,0.819672131147541,0,2,2019-10-19 17:30:00,1571502600.0,0.4945081069523047,0.0,0.5054918930476953,0.4263000922002626,0.43576887331697867,0.13793103448275862
Manchester Utd,Liverpool,987.9717249539938,1106.287970693454,0.2469135802469136,0.2824858757062147,0.5102040816326531,1,1,2019-10-20 16:30:00,1571585400.0,0.32150997343623716,0.0,0.6784900265637628,0.23068794704181986,0.48682617725196536,0.2824858757062147
Sheffield Utd,Arsenal,1003.2959550855581,1022.4069826427612,0.2680965147453083,0.27932960893854747,0.4926108374384236,1,0,2019-10-21 20:00:00,1571684400.0,0.4197542359604754,0.0,0.5802457640395247,0.302504449379337,0.4181659416821155,0.27932960893854747
Southampton,Leicester,948.8464950267804,1057.2149142015064,0.3184713375796178,0.29673590504451036,0.42372881355932196,0,9,2019-10-25 20:00:00,1572030000.0,0.3814786465027579,0.0,0.618521353497242,0.2682802350776072,0.43498385987788235,0.29673590504451036
Manchester City,Aston Villa,1063.0994088543962,980.0270163414081,0.9259259259259258,0.07496251874062969,0.03672420124862284,3,0,2019-10-26 12:30:00,1572089400.0,0.5801862548824073,0.0,0.41981374511759273,0.5366940318777291,0.3883434493816413,0.07496251874062969
West Ham,Sheffield Utd,994.2644959300183,1002.8600759212677,0.4424778761061947,0.29239766081871343,0.303951367781155,1,1,2019-10-26 15:00:00,1572098400.0,0.4863787761159236,0.0,0.5136212238840764,0.34416275970775884,0.36343957947352773,0.29239766081871343
Watford,Bournemouth,938.5179290100407,996.7367933310443,0.44052863436123346,0.2808988764044944,0.3205128205128205,0,0,2019-10-26 15:00:00,1572098400.0,0.4088515462401767,0.0,0.5911484537598233,0.2940056062850709,0.4250955173104347,0.2808988764044944
Brighton,Everton,984.7167094113586,954.3555007848151,0.37735849056603776,0.30120481927710846,0.3623188405797102,3,2,2019-10-26 15:00:00,1572098400.0,0.4974023616727674,0.0,0.5025976383272326,0.3475823732171146,0.351212807505777,0.30120481927710846
Burnley,Chelsea,985.3567416993683,1059.4543640351296,0.19762845849802374,0.24752475247524752,0.591715976331361,2,4,2019-10-26 17:30:00,1572107400.0,0.4337031609408667,0.0,0.5662968390591333,0.32635089338124623,0.42612435414350625,0.24752475247524752
Newcastle,Wolves,965.3807621513354,1000.7208693833151,0.2958579881656805,0.3225806451612903,0.4184100418410042,1,1,2019-10-27 14:00:00,1572184800.0,0.44423859749809486,0.0,0.5557614025019051,0.3009358241116127,0.376483530727097,0.3225806451612903
Norwich,Manchester Utd,929.834455361619,1001.9489612150824,0.21645021645021645,0.267379679144385,0.5586592178770949,1,3,2019-10-27 16:30:00,1572193800.0,0.4367886331590174,0.0,0.5632113668409826,0.3200002285710448,0.4126200922845702,0.267379679144385
Liverpool,Tottenham,1117.28014684009,982.7768393223587,0.6756756756756757,0.2092050209205021,0.15552099533437014,2,1,2019-10-27 16:30:00,1572193800.0,0.656494495417627,0.0,0.34350550458237294,0.5191525507695879,0.27164242830991,0.2092050209205021
Arsenal,Crystal Palace,1022.0291321912374,1014.5783889878282,0.6756756756756757,0.2127659574468085,0.15220700152207,2,2,2019-10-27 16:30:00,1572193800.0,0.5118078266101199,0.0,0.4881921733898801,0.4029125443526476,0.3843214982005439,0.2127659574468085
Bournemouth,Manchester Utd,1012.9768045275333,985.7089500185933,0.273972602739726,0.2808988764044944,0.48309178743961345,1,0,2019-11-02 12:30:00,1572697800.0,0.49249965010971625,0.0,0.5075003498902837,0.3541570517642903,0.36494407183121524,0.2808988764044944
West Ham,Newcastle,976.937406717819,982.7078513635346,0.5494505494505495,0.26525198938992045,0.22675736961451246,2,3,2019-11-02 15:00:00,1572706800.0,0.5414715378812262,0.0,0.45852846211877385,0.39784513526021126,0.3369028753498683,0.26525198938992045
Sheffield Utd,Burnley,1018.0546988280195,970.1621187926165,0.4424778761061947,0.3105590062111801,0.28901734104046245,3,0,2019-11-02 15:00:00,1572706800.0,0.5251680341640068,0.0,0.4748319658359932,0.3620723713801538,0.32736862240866615,0.3105590062111801
Manchester City,Southampton,1074.019668635333,937.9262352458436,0.9259259259259258,0.0782472613458529,0.033079722130334104,2,1,2019-11-02 15:00:00,1572706800.0,0.6587418818457251,0.0,0.34125811815427487,0.6071971336574837,0.31455560499666335,0.0782472613458529
Brighton,Norwich,998.2101023732116,916.341062399766,0.625,0.22883295194508008,0.186219739292365,2,0,2019-11-02 15:00:00,1572706800.0,0.5783314699420927,0.0,0.4216685300579073,0.44599017247250633,0.32517687558241365,0.22883295194508008
Aston Villa,Liverpool,970.038254688884,1127.2689084926142,0.1079913606911447,0.16778523489932887,0.7633587786259541,1,2,2019-11-02 15:00:00,1572706800.0,0.31214880164137926,0.0,0.6878511983586207,0.2597748416344364,0.5724399234662347,0.16778523489932887
