home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max
Bournemouth,Brighton,3,1,True,False,1.86,1.96,2.3,2.4,1.57,1.66
Aston Villa,Watford,2,1,True,False,2.11,2.2,2.42,2.5,1.36,1.45
Chelsea,Arsenal,2,2,False,False,0.74,0.76,2.9,3.0,3.79,4.05
Tottenham,Norwich,2,1,True,False,0.38,0.42,4.11,4.7,7.34,8.5
Leicester,West Ham,4,1,True,False,0.48,0.52,3.72,4.0,5.59,6.0
Manchester Utd,Burnley,0,2,False,True,0.44,0.48,3.55,3.8,6.9,7.8
Wolves,Liverpool,1,2,False,True,4.29,4.9,2.99,3.1,0.66,0.71
West Ham,Liverpool,0,2,False,True,7.5,8.2,4.44,4.8,0.35,0.38
Leicester,Chelsea,2,2,False,False,1.55,1.65,2.54,2.65,1.72,1.77
West Ham,Brighton,3,3,False,False,1.52,1.65,2.39,2.5,1.87,1.95
Watford,Everton,2,3,False,True,1.96,2.22,2.36,2.48,1.47,1.7
Newcastle,Norwich,0,0,False,False,1.24,1.3,2.38,2.46,2.37,2.5
Liverpool,Southampton,4,0,True,False,0.3,0.33,4.64,4.95,9.28,10.5
Crystal Palace,Sheffield Utd,0,1,False,True,2.09,2.25,2.04,2.13,1.58,1.65
Bournemouth,Aston Villa,2,1,True,False,1.18,1.28,2.36,2.46,2.5,2.7
Manchester Utd,Wolves,0,0,False,False,1.14,1.2,2.38,2.5,2.63,2.8
Burnley,Arsenal,0,0,False,False,2.96,3.26,2.72,2.82,0.93,0.97
Tottenham,Manchester City,2,0,True,False,4.78,5.5,3.58,3.77,0.54,0.6
Everton,Crystal Palace,3,1,True,False,0.65,0.69,2.72,2.86,4.92,5.35
Brighton,Watford,1,1,False,False,1.3,1.36,2.39,2.46,2.22,2.3
Sheffield Utd,Bournemouth,2,1,True,False,0.77,0.81,2.45,2.58,4.44,4.75
Wolves,Leicester,0,0,False,False,1.68,1.93,2.22,2.32,1.81,1.91
Southampton,Burnley,1,2,False,True,0.7,0.8,2.94,3.12,4.08,4.6
Norwich,Liverpool,0,1,False,True,8.13,9.5,4.5,4.9,0.34,0.36
Aston Villa,Tottenham,2,3,False,True,2.91,3.18,2.76,2.85,0.94,0.99
Arsenal,Newcastle,4,0,True,False,0.45,0.48,3.57,3.8,6.67,7.2
Chelsea,Manchester Utd,0,2,False,True,1.0,1.05,2.45,2.5,2.99,3.2
Manchester City,West Ham,2,0,True,False,0.13,0.15,8.9,9.75,17.78,21.0
Chelsea,Tottenham,2,1,True,False,0.86,0.9,2.56,2.68,3.5,3.85
Southampton,Aston Villa,2,0,True,False,0.72,0.77,3.05,3.18,3.68,3.86
Sheffield Utd,Brighton,1,1,False,False,0.93,1.0,2.42,2.52,3.35,3.75
Crystal Palace,Newcastle,1,0,True,False,1.16,1.25,2.23,2.34,2.69,2.84
Burnley,Bournemouth,3,0,True,False,1.23,1.34,2.3,2.38,2.45,2.78
Leicester,Manchester City,0,1,False,True,4.28,4.65,3.52,3.84,0.58,0.65
Wolves,Norwich,3,0,True,False,0.51,0.55,3.22,3.42,6.0,6.9
Manchester Utd,Watford,3,0,True,False,0.58,0.61,2.98,3.1,5.29,5.75
Arsenal,Everton,3,2,True,False,0.98,1.01,2.65,2.78,2.79,2.98
Liverpool,West Ham,3,2,True,False,0.15,0.16,7.66,8.5,16.45,19.0
Norwich,Leicester,1,0,True,False,3.22,3.6,2.82,2.9,0.85,0.9
Brighton,Crystal Palace,0,1,False,True,1.19,1.3,2.17,2.3,2.69,2.82
West Ham,Southampton,3,1,True,False,1.57,1.7,2.52,2.6,1.7,1.82
Newcastle,Burnley,0,0,False,False,1.71,1.8,2.21,2.28,1.75,1.82
Bournemouth,Chelsea,2,2,False,False,3.13,3.68,2.71,2.79,0.89,0.95
Watford,Liverpool,3,0,True,False,5.87,6.2,3.65,3.95,0.46,0.49
Tottenham,Wolves,2,3,False,True,1.75,1.88,2.08,2.17,1.82,2.03
Everton,Manchester Utd,1,1,False,False,1.85,2.07,2.34,2.46,1.54,1.63
Liverpool,Bournemouth,2,1,True,False,0.22,0.27,6.05,6.6,11.44,13.25
Wolves,Brighton,0,0,False,False,0.72,0.76,2.72,2.88,4.19,4.5
Southampton,Newcastle,0,1,False,True,0.74,0.78,2.8,2.95,3.88,4.2
Sheffield Utd,Norwich,1,0,True,False,0.68,0.71,2.87,3.1,4.34,4.5
Crystal Palace,Watford,1,0,True,False,1.7,1.8,2.1,2.2,1.88,2.0
Arsenal,West Ham,1,0,True,False,0.63,0.68,3.29,3.54,4.2,4.55
Burnley,Tottenham,1,1,False,False,1.71,1.8,2.32,2.48,1.67,1.77
Chelsea,Everton,4,0,True,False,0.87,1.0,2.82,2.98,3.06,3.2
Manchester Utd,Manchester City,2,0,True,False,3.5,3.75,2.91,3.08,0.77,0.83
Leicester,Aston Villa,4,0,True,False,0.52,0.56,3.46,3.6,5.2,5.6
Aston Villa,Sheffield Utd,0,0,False,False,2.27,2.35,2.31,2.42,1.34,1.43
Manchester City,Arsenal,3,0,True,False,0.3,0.35,5.26,5.9,8.38,9.5
Norwich,Southampton,0,3,False,True,1.93,2.2,2.44,2.6,1.46,1.58
Tottenham,Manchester Utd,1,1,False,False,2.31,2.46,2.44,2.58,1.24,1.3
Watford,Leicester,1,1,False,False,2.82,2.95,2.48,2.6,1.04,1.14
Brighton,Arsenal,2,1,True,False,2.27,2.47,2.4,2.5,1.27,1.38
West Ham,Wolves,0,2,False,True,3.06,3.37,2.41,2.59,1.0,1.1
Bournemouth,Crystal Palace,0,2,False,True,1.71,1.85,2.12,2.2,1.88,2.1
Newcastle,Sheffield Utd,3,0,True,False,2.33,2.48,2.04,2.15,1.44,1.53
Aston Villa,Chelsea,1,2,False,True,6.01,6.8,3.62,3.83,0.47,0.51
Everton,Liverpool,0,0,False,False,4.85,5.45,2.99,3.1,0.62,0.66
Manchester City,Burnley,5,0,True,False,0.14,0.2,7.9,9.75,20.63,29.0
Leicester,Brighton,0,0,False,False,0.63,0.66,2.97,3.25,4.82,5.25
Tottenham,West Ham,2,0,True,False,0.58,0.65,3.14,3.45,5.25,5.95
Wolves,Bournemouth,1,0,True,False,0.57,0.6,2.91,3.11,5.85,6.5
Norwich,Everton,0,1,False,True,3.43,3.86,2.61,2.78,0.86,0.92
Newcastle,Aston Villa,1,1,False,False,1.35,1.43,2.39,2.6,2.15,2.25
Manchester Utd,Sheffield Utd,3,0,True,False,0.36,0.38,3.94,4.3,8.74,10.25
Liverpool,Crystal Palace,4,0,True,False,0.28,0.33,4.85,5.5,10.9,13.0
Southampton,Arsenal,0,2,False,True,1.69,1.84,2.55,2.68,1.6,1.72
Burnley,Watford,1,0,True,False,2.57,2.72,2.26,2.37,1.22,1.33
Chelsea,Manchester City,2,1,True,False,3.13,3.45,3.02,3.42,0.82,0.98
Aston Villa,Wolves,0,1,False,True,3.54,3.86,2.44,2.6,0.89,0.97
