home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max,date-start-timestamp
Fulham,Chelsea,0,1,False,True,5.27,6.09,3.16,3.33,0.56,0.61,1610818200
Leicester,Southampton,2,0,True,False,0.71,0.75,2.87,3.15,4.19,4.46,1610827200
Sheffield Utd,Tottenham,1,3,False,True,3.89,4.3,2.61,2.71,0.8,0.85,1610892000
Liverpool,Manchester Utd,0,0,False,False,0.95,0.99,2.88,2.98,2.76,3.0,1610901000
Manchester City,Crystal Palace,4,0,True,False,0.18,0.19,6.62,7.24,15.75,17.36,1610910900
Arsenal,Newcastle,3,0,True,False,0.43,0.47,3.77,3.91,6.77,7.5,1611000000
West Ham,West Brom,2,1,True,False,0.55,0.57,3.24,3.42,5.42,6.4,1611079200
Leicester,Chelsea,2,0,True,False,1.8,1.92,2.47,2.65,1.55,1.64,1611087300
Manchester City,Aston Villa,2,0,True,False,0.31,0.33,4.82,5.1,8.73,10.0,1611165600
Fulham,Manchester Utd,1,2,False,True,4.63,5.05,3.13,3.25,0.62,0.66,1611173700
Liverpool,Burnley,0,1,False,True,0.32,0.36,4.69,5.08,8.98,10.0,1611259200
Aston Villa,Newcastle,2,0,True,False,0.52,0.55,3.63,3.84,5.18,5.51,1611432000
Newcastle,Leeds,1,2,False,True,3.04,3.25,2.99,3.1,0.85,0.89,1611684000
Crystal Palace,West Ham,2,3,False,True,2.56,2.81,2.36,2.54,1.17,1.25,1611684000
West Brom,Manchester City,0,5,False,True,18.5,20.04,7.3,7.8,0.15,0.16,1611692100
Southampton,Arsenal,1,3,False,True,2.54,2.8,2.69,2.83,1.06,1.15,1611692100
Chelsea,Wolves,0,0,False,False,0.65,0.7,2.84,2.97,4.85,5.36,1611770400
Burnley,Aston Villa,3,2,True,False,3.39,3.66,2.74,2.9,0.83,0.9,1611770400
Brighton,Fulham,0,0,False,False,1.06,1.14,2.37,2.5,2.94,3.15,1611775800
Manchester Utd,Sheffield Utd,1,2,False,True,0.27,0.3,5.06,5.39,10.1,11.0,1611778500
Everton,Leicester,1,1,False,False,2.19,2.38,2.29,2.35,1.38,1.45,1611778500
Tottenham,Liverpool,1,3,False,True,2.59,2.75,2.83,2.98,1.01,1.08,1611864000
Everton,Newcastle,0,2,False,True,0.57,0.6,3.09,3.33,5.35,6.03,1612009800
West Brom,Fulham,2,2,False,False,2.55,2.68,2.29,2.41,1.2,1.32,1612018800
Manchester City,Sheffield Utd,1,0,True,False,0.18,0.22,6.38,7.36,17.02,20.0,1612018800
Crystal Palace,Wolves,1,0,True,False,1.95,2.05,2.11,2.24,1.63,1.7,1612018800
